id,label
12ltuvg,0
w3vhok,1
hvkuqk,1
i1wg9u,1
lh99aj,1
ihqawn,0
f4hy18,0
m7s45o,1
mae55n,1
9npziu,0
pskko4,1
r2qt7r,0
9pu8d2,1
doxivy,0
gd7qep,1
budx90,1
et532b,0
11rzn6u,1
q7cgxs,0
x7k303,0
a10tnp,1
c3krpm,0
9ow2tw,0
dveujq,0
gbcs9t,1
hc5dp6,1
ten615,1
key8pc,0
le4pbx,0
rldi34,0
i8mw77,0
9q9g4x,1
cdvpc8,0
aj1p8d,1
c93yn8,1
ukfzm1,0
9uhk9z,1
mmgtfa,0
abd95z,0
e2491k,0
kmj2fp,1
luptwn,1
kp9fqg,1
qlog8f,0
mlato8,1
fibdqb,1
e5tao5,1
hx9u0j,1
iocu73,0
eidmps,0
mtr39t,1
hukkai,0
hdyoiu,1
klka0d,1
er3p1q,1
egtnwy,0
iczxqz,1
kjmpdz,0
f1cpgt,1
gfs3xn,0
k9qrmz,0
krafk8,1
kjyvyq,0
j94l7t,1
hr227o,1
hij3wi,0
n2dus6,1
l4ebjl,1
fdyav9,1
eq4l5i,0
i9oi23,0
e2ptxq,0
kpohk7,1
yymufn,0
rj8ta4,1
llykyx,0
an95qt,1
gz259j,1
99rfin,1
hq0c4d,1
i116hn,0
ev8nhu,0
c075ye,0
acs8td,0
lc4vu8,1
f6k3kk,0
o1u1i3,1
l94rk8,1
b1wg2m,1
u3gj51,1
8fthid,0
ijwuym,1
idfs2f,1
gffzzd,0
v3mhj5,1
r6ke3v,1
hlc8yh,1
dl84tj,1
afbez4,0
aas524,1
sgsbqg,0
mifb7c,1
dm02ne,0
82cxfn,1
apn0d5,0
7mrxfu,0
c2wire,0
c2qcmv,1
ee0w5f,0
tj4h1k,0
mpypb1,1
10sz0jf,1
ifbl2l,1
e44u6a,1
geyks6,0
e70fc6,0
cbsdn2,1
bd4n87,1
jmey27,0
qoje2z,1
jobbx7,1
herq3b,0
f182ah,1
e7olwj,1
cdzqdm,0
n2yda2,1
f0upuo,1
amm2m7,1
dy5tvu,1
jpmaa3,1
jkpmqa,1
m43y6f,1
f9fx1k,1
ez3km1,1
k0lak1,1
e4fyor,1
a6ukv1,1
mufgmm,1
jxtr4v,1
jc1h92,1
i3aeas,1
zv3k8a,1
nwf0wp,0
jmooux,1
eyvlmc,1
lnljvy,1
9d7f19,1
n88f3u,1
kdqnxf,0
jsrm1t,1
dhyciw,1
77ra5g,1
l9xmw7,0
apsmtm,0
iwx1el,0
kyxncr,1
dr4wz8,1
9ybd1q,1
91nu5e,0
gugudr,1
gss0vy,1
g8e398,1
f9q3um,1
ys1zwv,0
l66zfw,1
c1iazb,1
ankg7a,1
guxs01,1
b0aq6n,0
o3ejy2,0
mkr0xw,1
ljgdk8,1
knkip3,1
gmlyoa,1
axejhz,1
jd7fxa,1
jctwmj,1
fqq4mo,1
fcl1wy,1
f5rlxn,1
c4jmfa,1
agw6ti,0
z6bvnc,0
mxwcf7,1
kcsoa7,1
i7b87x,1
hqusbh,1
dstbq3,1
azow23,0
9m5blp,0
nh4m84,1
k4f3j5,1
hqno20,1
b1g7op,1
u5u10w,0
jpriom,1
93nedm,0
gt6wv1,1
h04uh2,0
gkxww6,0
r9hwrt,1
ok547w,1
k3twwb,1
iuxi56,1
dl4h3n,1
bagacs,1
9ypqox,1
jvtouz,1
ero365,1
bsf2wc,1
12el98x,1
z7ebrx,1
pn8p01,1
kh13ao,1
gutcqg,1
87pco1,0
lieo76,1
fncdcr,1
103aylq,0
h8s0tt,0
ig6854,1
hxiz6e,1
hfii90,1
gxgcqm,1
ppig3r,0
i3dymj,0
l0odj2,1
hy1oog,0
hxz2vs,1
xs0k4c,1
cd0hjp,1
dbd5gr,1
jq54zk,1
k47q9a,1
jnuz7t,1
jizxdt,1
fjthj0,1
dzrccf,1
i7ialo,1
ee58qm,1
is8ldk,1
bnbp7c,1
ipgaqf,1
iw8cv4,1
qdtvsd,1
gttjis,1
lxjale,1
jbj7c7,1
ie47wl,1
bue9q3,1
hlehhg,1
k3g4mz,1
g6jgq0,1
gnmp5u,1
brffm6,1
kgmy1e,1
jqkwz0,1
gv1cqg,1
i8vxh5,1
hhbowe,0
v0orzu,1
lbdal4,1
gq8x7h,1
eaqn2p,1
liznl9,1
eihb2v,1
clue8y,1
nw075v,1
dyazjo,1
he3cji,0
m17x3m,1
iyz4y3,1
gs581g,1
kfvd68,1
rr4lp5,1
emnl5m,1
hqw1wy,1
dlp6ws,1
jyo9pv,1
jse4m7,0
k016wa,1
i8ifzj,1
coglq2,1
c5tb40,1
hx450i,1
iwv0ns,0
gktyww,1
c4sqkl,0
hyc7l6,1
ds57wd,1
gu2t3w,1
k15h4m,1
t9ydp9,1
rgdw89,1
hjerm3,1
br6vgb,1
ctxsee,1
fhu4s5,1
mjimbp,1
hzah5n,1
e2ne5e,1
ld2okb,1
jusevs,1
6v2l1i,1
s995bw,1
dnnbof,1
gi0w67,1
vsorfa,1
gk8swn,1
gliw37,1
kjpy5l,1
ol77tc,1
p6bpd4,1
fvlw1k,1
103859t,0
6xpxv9,1
61rx2p,1
cvssty,1
qisplw,1
cnf0qn,1
f9rtou,1
kp66b8,1
9amifa,1
b7994c,1
mq05lk,1
noyooc,1
7t7c0h,1
cbvtds,1
bmt4zr,1
kzq5n5,1
ctruu6,1
mg2a2c,1
libh4q,1
hm1xy5,1
e3g6bw,1
mwludf,1
ive8e5,1
j1vd4o,1
mzrs23,0
f82dz1,1
82f2i9,1
oca9m2,1
i2wl5m,1
u6rlwl,1
bl099d,1
3w04ft,1
rwaqiu,1
hl4md7,1
g99heb,1
ira8be,1
gd2oik,1
f1op1n,1
6zp5ff,1
pgg05z,1
cr3476,1
l34bwo,1
e4wpyx,1
3n5g8x,1
kmskz3,1
onc1x2,1
ijb81s,1
jm9w19,1
hfexm2,1
odt25a,1
fnkceg,1
cv7dqu,1
7wmmpd,1
fbi7gc,1
ppjaaz,1
hp11z8,0
ddyoc0,1
k67uzs,1
cjo7ts,1
izxse1,1
axypnl,1
uberec,1
iarsbg,1
vtttcl,1
7c7unq,1
hgxob2,0
pfjv2,1
rmiync,1
9okq9h,1
p9i2qr,1
uv4jho,1
tqdr6l,1
nvl9fg,1
bjbpfi,1
izdtsq,1
d4d08a,0
l3y52m,1
si7o1p,1
ktqu2r,1
oxjbcj,1
504py2,1
p1p4sy,1
7oydlq,1
g2c8pv,1
osy945,1
br7w9r,1
mw40n5,1
ggszno,1
s7hfha,1
kwddjw,1
d4pn7l,1
qa5ayh,1
eieavt,1
ibn6rc,1
q2re3g,1
v1w21,1
7cn2gq,1
vcg52n,1
lqumsg,1
i8b9ho,1
8wmeii,1
hvunye,1
kqu0by,1
7gf37l,1
e88epz,1
e3avf3,1
pnjkzg,1
bcs0ka,0
85ubu6,1
mtrcp5,1
g0qyn8,1
p43lmf,1
izi1r1,1
p02ayx,1
own0km,1
uphj30,1
nwniu4,1
5kkp2e,1
ttc7pn,1
psl4nn,1
nzkhjf,1
lviir5,1
kxrcfh,1
fduqan,0
gc1xfd,0
b9fv6s,1
v424a1,1
m8ijzq,1
qzhiz5,1
kde5ip,0
dvittj,1
aw7vhp,0
r148v5,0
hetkuq,0
c7jjpu,1
ohhgb6,1
8xdnp7,1
bxktkp,0
jhy5zx,1
6a9wv0,1
g41t6v,0
62uo5b,1
s2a1ml,1
6l4zdo,1
lfczc3,1
cbhfwy,1
vm8tkm,1
m3fqet,0
6058z9,1
7hhy99,1
rlg5yc,1
13crdkg,1
wq3ws9,1
bousau,1
ngzlvf,1
sstqh3,1
8bq8dv,1
fs78rp,1
ns26c9,0
dj5z5e,1
a6qv8n,1
blpehw,1
nlsw9v,1
w1hcle,1
wrcdos,1
w0uozg,1
17t0i4t,0
knjkir,0
ld58ou,1
myq558,0
k72f2p,1
pqme0k,1
i75927,0
mzfwqn,1
isej0k,1
jaa0lz,1
nkf1jm,1
j0cp1n,0
nonbj7,0
icrq70,0
mqwqwu,1
jiszm8,0
hyhjuq,1
o8ywg8,0
k5zcuc,1
lxjtly,1
jk7mta,1
l041ao,1
mj8jau,1
m37iu5,1
hpo52d,0
kwinai,0
hrnsn2,1
khw4b1,1
kayihf,1
hsrji3,1
pau90d,1
lla71b,1
ktxxwe,0
kdp4mx,1
jso50p,1
iweack,1
jdwi51,1
nr0gfl,1
hvtcaz,1
n93boz,1
jidc1r,1
mi3lsb,1
lbdmxg,1
k10x5p,1
rywq0d,0
i659so,1
jnhpv1,1
maw1oy,1
hwg8ez,1
jdgse3,1
o9tkp5,1
n1u2x3,0
kpal6k,0
j2xkfe,1
hxrlh8,1
lj4oxn,1
hxbcj7,1
r3schw,0
owno5r,1
nxei9v,1
ieo03l,1
jlynu9,1
k6uoj3,1
ghajb6,1
gtan16,1
l5ty5o,1
klivp4,1
k2rl7j,1
jwujzx,1
oxvpda,0
iuczoe,1
vv8c6s,1
jgjufa,1
hg5iik,1
ko4ri3,1
kl987l,1
i05a99,1
ny09aw,1
of3dmn,1
umphqv,1
na3crj,1
mxvkle,1
ofy2yz,1
m64jza,0
l7rv8n,1
js38cw,1
iynti3,1
igw3ru,1
w5qy49,0
kz7bzm,1
ipwp2z,0
grj3lv,1
kkp7l3,1
iv2t3z,0
hbw6ls,1
nimilq,1
kzpzco,1
j9ika1,1
ll282c,1
l42s93,1
h10g02,1
tddji5,1
n2hze9,1
l691e2,1
k3ohis,1
ojcnsx,1
ijukgn,1
npdcbb,1
lmnr17,1
lt5xrq,1
j7dxcm,1
hjcxga,1
on9e0u,1
o2zndx,0
kq9x5l,1
pnuoc8,1
3wm6bh,1
mjxh0v,1
mgz3ju,1
pss1uv,1
fiyowb,0
lpao7o,1
l033sq,0
ka51gv,1
k84l0h,1
gryfj6,1
osix5a,1
gc4xc3,1
oxih1n,0
j83bjh,1
q1hf7i,1
pwnws4,1
l3t4gb,1
kigmwi,1
ifwp7q,1
ktrihk,1
hbfiq5,1
ipkp4m,0
jtif6p,1
slo537,1
q8334j,1
itv9rp,1
ht1qyp,1
y6u0mj,1
q03mt0,0
nl42yj,1
ixpbyn,1
n1i39m,1
kfovu4,1
qq7nir,1
inrfyq,1
he7d5i,1
itlk1n,1
oyr4ij,1
l9101h,1
jlmvms,1
q6111y,1
irij6d,0
i1rtio,0
m8gxdo,1
q3g313,1
lojlgk,1
lcz2m3,1
l3kb2x,1
va1khd,1
o8e22w,1
krjcyo,0
jxjv8m,1
kzdx7t,1
ik5w7i,1
onqd1f,1
mvggry,1
k5rc8x,1
jlficm,1
fxzfpc,1
